Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
2020-02-29 05:11,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,58 / 73,56c8efe4e303e246409903783bc4dc962e3bbfac45646a39b2f85e105f569547,https://www.virustotal.com/gui/file/56c8efe4e303e246409903783bc4dc962e3bbfac45646a39b2f85e105f569547,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 04:18,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 73,cf40bea95609fe7c4631291261dd7da42f786b1be9987e70ded259a942a1cb35,https://www.virustotal.com/gui/file/cf40bea95609fe7c4631291261dd7da42f786b1be9987e70ded259a942a1cb35,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 04:04,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 71,a8103fc0db7ec317ffeac82e2c10e6c09fa0adb5e7a891ed95f32d7675f5c040,https://www.virustotal.com/gui/file/a8103fc0db7ec317ffeac82e2c10e6c09fa0adb5e7a891ed95f32d7675f5c040,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 02:39,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 72,eaf22a1e98c23a191f924a05fcd78e807eeb1eeef385d7e1ab8fcfd7a747ebb0,https://www.virustotal.com/gui/file/eaf22a1e98c23a191f924a05fcd78e807eeb1eeef385d7e1ab8fcfd7a747ebb0,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 02:34,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,ca9f006a52298343ffe6dcf3b99b34fdf8ea83b71a1da1a7e6a9e425be43b779,https://www.virustotal.com/gui/file/ca9f006a52298343ffe6dcf3b99b34fdf8ea83b71a1da1a7e6a9e425be43b779,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 02:28,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,51 / 71,3b7b3901d6fc396ab04badc7c064d06a8bde84044f77b23841ffdd71155d9f84,https://www.virustotal.com/gui/file/3b7b3901d6fc396ab04badc7c064d06a8bde84044f77b23841ffdd71155d9f84,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 02:02,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 73,e6d7830b18d12ff69527f4056f1926c8bbd535924a46f89da8444bf2e55d871c,https://www.virustotal.com/gui/file/e6d7830b18d12ff69527f4056f1926c8bbd535924a46f89da8444bf2e55d871c,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 00:47,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,d280ebfde3d72d4caaaf775b1c1945cb30549412d01c265583e61f30c1b88648,https://www.virustotal.com/gui/file/d280ebfde3d72d4caaaf775b1c1945cb30549412d01c265583e61f30c1b88648,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 00:39,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 73,7497490b84111a85827a3e6ac01e24e0f0c94d1ca1091120e4802f0b51877370,https://www.virustotal.com/gui/file/7497490b84111a85827a3e6ac01e24e0f0c94d1ca1091120e4802f0b51877370,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 00:35,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 73,a1c26610474f644a3561cc3a1216e3def54fa3f3d5d8ae9cf31e933a4d4b6f34,https://www.virustotal.com/gui/file/a1c26610474f644a3561cc3a1216e3def54fa3f3d5d8ae9cf31e933a4d4b6f34,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
