Date,Type,Value,malware,Available
2021-05-13,File,8199f309478e8ed3f03f75e7574a3e9bce09b4423bd7eb08bb5bff03af2b7c27,BoomBox,ok
2021-05-13,File,0acb884f2f4cfa75b726cb8290b20328c8ddbcd49f95a1d761b7d131b95bafec,BoomBox,ok
2021-05-13,File,d37347f47bb8c7831ae9bb902ed27a6ce85ddd9ba6dd1e963542fd63047b829c,Decoy Document,ok
2021-05-13,File,0585ed374f47d823f8fcbb4054ad06980b1fe89f3fa3484558e7d30f7b6e9597,LNK,ok
2021-05-13,File,656384c4e5f9fe435d51edf910e7ba28b5c6d183587cf3e8f75fb2d798a01eeb,VaporRage,ok
2021-05-13,File,136f4083b67bc8dc999eb15bb83042aeb01791fc0b20b5683af6b4ddcf0bbc7d,NativeZone,ok
2021-05-13,File,23e20d630a8fd12600c2811d8f179f0e408dcb3e82600456db74cbf93a66e70f,VaporRage,ok
2021-05-13,File,b0bfe6a8aa031f7f5972524473f3e404f85520a7553662aaf886055007a57db5,VaporRage,
2021-05-13,Host,enpport.com,,
2021-05-14,Host,content.pcmsar.net,,
2021-05-15,Host,holescontracting.com,,
2021-05-18,File,3b94cc71c325f9068105b9e7d5c9667b1de2bde85b7abc5b29ff649fd54715c4,NativeZone,ok
2021-05-18,File,74202eed181e2b83dd0ab6f791a34a13bd94e63e86b82395f9443cb5aeddc891,LNK,ok
2021-05-19,File,ca66b671a75bbee69a4a4d3000b45d5dc7d3891c7ee5891272ccb2c5aed5746c,Attachement,ok
2021-05-19,Host,doggroomingnews.com,,
2021-05-19,Address,45.135.167.27,,
2021-05-20,Address,51.254.241.158,,
2021-05-20,Host,stockmarketon.com,,
2021-05-20,Host,stsnews.com,,
2021-05-20,File,f7e8c9d19efd71f5c8217bf12bdd3f6c88d5f56ab65fea02dc2777c5402a18f1,EnvyScout,
2021-05-20,File,b295c5ad4963bdffa764b93421c3dd512ca6733b79bdff2b99510e7d56a70935,NativeZone,
2021-05-20,File,6d08b767117a0915fb86857096b4219fd58596b42ccf61462b137432abd3920e,Malware,
2021-05-20,Host,cityloss.com,,
2021-05-21,Host,theadminforum.com,,
2021-05-25,Host,https://r20.rs6.net/,,
2021-05-25,File,2523f94bd4fba4af76f4411fe61084a7e7d80dec163c9ccba9226c80b8b31252,ISO,ok
2021-05-25,File,7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,Decoy Document,ok
2021-05-25,File,ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,CobaltStrike,ok
2021-05-25,File,ee44c0692fd2ab2f01d17ca4b58ca6c7f79388cbc681f885bb17ec946514088c,CobaltStrike,ok
2021-05-25,URL,http://usaid.theyardservice.com/d/Victim,,
2021-05-25,Host,usaid.theyardservice.com,,
2021-05-25,Address,83.171.237.173,,
2021-05-25,File,94786066a64c0eb260a28a2959fcd31d63d175ade8b05ae682d3f6f9b2a5a916,ISO,ok
2021-05-25,File,48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,LNK,ok
2021-05-25,Host,cross-checking.com,,
2021-05-25,Host,cdn.theyardservice.com,,
